iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
ARG,South America,Argentina,15-04-2020,2432,160,105,7,53.81,3.54,2.323,0.155,24374,1569,0.539,0.035,1578,0.035,tests performed,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
ARG,South America,Argentina,16-04-2020,2432,0,109,4,53.81,0,2.412,0.089,26457,2083,0.585,0.046,1658,0.037,tests performed,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
ARG,South America,Argentina,17-04-2020,2560,128,115,6,56.642,2.832,2.544,0.133,28650,2193,0.634,0.049,1753,0.039,tests performed,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
ARG,South America,Argentina,18-04-2020,2658,98,122,7,58.811,2.168,2.699,0.155,30942,2292,0.685,0.051,1845,0.041,tests performed,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
ARG,South America,Argentina,19-04-2020,2828,170,132,10,62.572,3.761,2.921,0.221,32712,1770,0.724,0.039,1974,0.044,tests performed,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
ARG,South America,Argentina,20-04-2020,2930,102,134,2,64.829,2.257,2.965,0.044,34568,1856,0.765,0.041,2116,0.047,tests performed,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
ARG,South America,Argentina,21-04-2020,3020,90,142,8,66.82,1.991,3.142,0.177,36611,2043,0.81,0.045,1972,0.044,tests performed,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
ARG,South America,Argentina,22-04-2020,3132,112,151,9,69.299,2.478,3.341,0.199,39228,2617,0.868,0.058,2122,0.047,tests performed,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
ARG,South America,Argentina,23-04-2020,3276,144,159,8,72.485,3.186,3.518,0.177,41786,2558,0.925,0.057,2190,0.048,tests performed,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
ARG,South America,Argentina,24-04-2020,3423,147,165,6,75.737,3.253,3.651,0.133,44654,2868,0.988,0.063,2286,0.051,tests performed,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
ARG,South America,Argentina,25-04-2020,3423,0,167,2,75.737,0,3.695,0.044,47406,2752,1.049,0.061,2352,0.052,tests performed,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
ARG,South America,Argentina,26-04-2020,3767,344,185,18,83.348,7.611,4.093,0.398,49905,2499,1.104,0.055,2456,0.054,tests performed,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
ARG,South America,Argentina,27-04-2020,3767,0,186,1,83.348,0,4.115,0.022,51900,1995,1.148,0.044,2476,0.055,tests performed,85.19,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
ARG,South America,Argentina,28-04-2020,3990,223,197,11,88.283,4.934,4.359,0.243,53600,1700,1.186,0.038,2427,0.054,tests performed,85.19,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
ARG,South America,Argentina,29-04-2020,4114,124,207,10,91.026,2.744,4.58,0.221,56058,2458,1.24,0.054,2404,0.053,tests performed,85.19,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
ARG,South America,Argentina,30-04-2020,4272,158,214,7,94.522,3.496,4.735,0.155,58685,2627,1.298,0.058,2414,0.053,tests performed,85.19,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
ARG,South America,Argentina,01-05-2020,4415,143,218,4,97.686,3.164,4.823,0.089,61530,2845,1.361,0.063,2411,0.053,tests performed,85.19,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
ARG,South America,Argentina,02-05-2020,4519,104,225,7,99.987,2.301,4.978,0.155,63866,2336,1.413,0.052,2351,0.052,tests performed,85.19,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
